Date,Open,High,Low,Close,Adj Close,Volume
2021-03-26,390.93,396.41,390.29,395.98,374.08,114409100
2021-03-25,385.98,390.55,383.9,389.7,368.15,116128600
2021-03-24,391,392.75,387.47,387.52,366.09,97588600
2021-03-23,391.91,393.46,388.66,389.5,367.96,90686600
2021-03-22,390.03,394.07,389.97,392.59,370.88,73778600
2021-03-19,1.28 Dividend,,,,,
2021-03-19,389.88,391.57,387.15,389.48,367.94,113624500
2021-03-18,394.48,396.72,390.75,391.48,368.62,115349100
2021-03-17,394.53,398.12,393.3,397.26,374.06,97959300
2021-03-16,397.07,397.83,395.08,395.91,372.79,73722500
2021-03-15,394.33,396.69,392.03,396.41,373.26,73427200
2021-03-12,392.07,394.21,391.2,394.06,371.05,64653600
2021-03-11,392.23,395.65,391.74,393.53,370.55,86245000
2021-03-10,389.69,391.4,388.17,389.58,366.83,109899400
2021-03-09,385.85,389.91,385.31,387.17,364.56,113633600
2021-03-08,384.66,387.68,381.42,381.72,359.43,123149200
2021-03-05,380.46,384.76,372.64,383.63,361.23,152039600
2021-03-04,381.22,384,371.88,376.7,354.7,183433000
2021-03-03,385.79,386.83,381.31,381.42,359.15,119940200
2021-03-02,389.82,390.07,386,386.54,363.97,79595300
2021-03-01,385.59,390.92,380.57,389.58,366.83,105348800
2021-02-26,384.35,385.58,378.23,380.36,358.15,152701600
2021-02-25,390.41,391.88,380.78,382.33,360,146670500
2021-02-24,386.33,392.23,385.27,391.77,368.89,72433900
2021-02-23,384.66,388.95,380.2,387.5,364.87,107284100
2021-02-22,387.06,389.62,386.74,387.03,364.43,67414200
2021-02-19,392.07,392.38,389.55,390.03,367.25,83241000
2021-02-18,389.59,391.52,387.74,390.72,367.9,59712800
2021-02-17,390.42,392.66,389.33,392.39,369.48,52290600
2021-02-16,393.96,394.17,391.53,392.3,369.39,50972400
2021-02-12,389.85,392.9,389.77,392.64,369.71,50593300
2021-02-11,391.24,391.69,388.1,390.71,367.89,42913300
2021-02-10,392.12,392.28,387.5,390.08,367.3,59154400
2021-02-09,389.61,390.89,389.17,390.25,367.46,35551100
2021-02-08,389.27,390.56,388.35,390.51,367.71,38365200
2021-02-05,388.2,388.47,386.14,387.71,365.07,48669800
2021-02-04,382.96,386.24,381.97,386.19,363.64,47142600
2021-02-03,382.44,383.7,380.48,381.85,359.55,52427100
2021-02-02,379.65,383.22,376.32,381.55,359.27,64450700
2021-02-01,373.72,377.34,370.38,376.23,354.26,75817600
2021-01-29,375.63,376.67,368.27,370.07,348.46,126765100
2021-01-28,376.36,381.93,375.89,377.63,355.58,94198100
2021-01-27,380.22,380.32,372.01,374.41,352.55,123351100
2021-01-26,385.41,385.85,383.54,383.79,361.38,42665300
2021-01-25,383.67,384.77,378.46,384.39,361.94,70402000
2021-01-22,382.25,384.13,381.84,382.88,360.52,52860500
2021-01-21,384.49,384.95,383.25,384.24,361.8,47840100
2021-01-20,381.11,384.79,380.69,383.89,361.47,61836100
2021-01-19,378.34,379.23,376.75,378.65,356.54,51233300
2021-01-15,376.72,377.58,373.7,375.7,353.76,107160000
2021-01-14,380.59,381.13,378.1,378.46,356.36,49989100
2021-01-13,378.69,380.86,377.85,379.79,357.61,45303600
2021-01-12,378.89,379.86,376.36,378.77,356.65,52547700
2021-01-11,377.85,380.58,377.72,378.69,356.58,51034700
2021-01-08,380.59,381.49,377.1,381.26,359,71677200
2021-01-07,376.1,379.9,375.91,379.1,356.96,68766800
2021-01-06,369.71,376.98,369.12,373.55,351.74,107997700
2021-01-05,368.1,372.5,368.05,371.33,349.65,66426200
2021-01-04,375.31,375.45,364.82,368.79,347.25,110210800
2020-12-31,371.78,374.66,371.23,373.88,352.05,78520700
2020-12-30,372.34,373.1,371.57,371.99,350.27,49455300
2020-12-29,373.81,374,370.83,371.46,349.77,53680500
2020-12-28,371.74,372.59,371.07,372.17,350.44,39000400
2020-12-24,368.08,369.03,367.45,369,347.45,26457900
2020-12-23,368.28,369.62,367.22,367.57,346.11,46201400
2020-12-22,368.21,368.33,366.03,367.24,345.8,47949000
2020-12-21,364.97,378.46,362.03,367.86,346.38,96386700
2020-12-18,1.58 Dividend,,,,,
2020-12-18,370.97,371.15,367.02,369.18,347.62,136542300
2020-12-17,371.94,372.46,371.05,372.24,349.02,64119500
2020-12-16,369.82,371.16,368.87,370.17,347.07,58420500
2020-12-15,367.4,369.59,365.92,369.59,346.53,63865300
